count,deep,Source,Target,Weight
1856,439,9990240,9991152,57
1857,440,9990240,9991008,48
1858,441,9990240,9990912,42
1859,442,9990216,9990912,43
1860,443,9990216,9990864,40
1861,444,9990864,9990864,0
1862,444,9990672,9990912,15
1863,445,9991032,9990912,-8
1864,446,9990816,9990912,6
1865,447,9991320,9990912,-26
1866,448,9991272,9990912,-23
1867,449,9990912,9990912,0
1868,443,9990984,9991008,1
1869,444,9991008,9991008,0
1870,443,9991200,9991152,-3
1871,444,9991200,9991200,0
1872,445,9990936,9991152,13
1873,446,9990936,9990768,-11
1874,447,9991296,9990768,-33
1875,448,9990960,9990768,-12
1876,449,9990840,9990768,-5
1877,450,9990768,9990768,0
1878,447,9990744,9991152,25
1879,448,9991344,9991152,-12
1880,449,9990600,9991152,34
1881,450,9990600,9991128,33
1882,451,9991056,9991128,4
1883,452,9991104,9991128,1
1884,453,9991104,9991104,0
1885,445,9991176,9992496,82
1886,446,9991176,9991680,31
1887,447,9990624,9991680,66
1888,448,9990624,9990648,1
1889,449,9990648,9990648,0
1890,449,9992064,9991680,-24
1891,450,9991680,9991680,0
1892,448,9991656,9992496,52
1893,449,9991656,9991728,4
1894,450,9991608,9991728,7
1895,451,9991704,9991728,1
1896,452,9991728,9991728,0
1897,450,9991632,9992496,54
1898,451,9991632,9991560,-5
